"label","message"
"0","Біздің жаңа жобамызды қараңыз."
"0","Кітап жазу бойынша жиналысқа қатысыңыз."
"0","Сәлем, досым, қалайсың!"
"0","Сенбі күні футбол ойыны болады."
"0","Бүгін ауа райы өте керемет."
"1","Сенбей тұрсыз ба! Тексеріңіз"
"1","Сіз ұттыңыз, ұтысыңызды келесі сілтемеден алыңыз"
"1","Тезірек сілтемеге өтіңіз"
"1","Құттықтаймын, ұтысыңызды алыңыз"
"1","Достарыңызға жіберіңіз, сіз жеңіске жетесіз!"
"1","Сізге арнайы ұсыныс."
"0","Досыңызбен кездесу жоспарлаңыз."
"1","Жедел түрде хабарласыңыз!"
"1","Бос орындар шектеулі! Ұтысқа кеңеліңіз!"
"0","Көңіл-күйіңіз қалай?"
"0","Кешегі кездесуде қызықты тақырыптар талқыланды."
"1","Тек бүгін ғана - ақшаны қайтарып алыңыз!"
"1","Сіз 1,000,000 теңге ұтып алдыңыз!"
"0","Кітапханаға барып, жаңа кітаптар алыңыз."
"1","Тегін iPhone алыңыз!"
"0","Жазғы демалыс жоспарларыңыз қандай?"
"1","Сізді құттықтаймыз!"
"1","Сіздің шотыңыз бұғатталды."
"1","Бүгін 90%-ға дейін жеңілдік."
"0","Сіздің сабағыңыз уақытында басталады."
"0","Жаңа фильмдер көрсетілімін жібермеңіз."
"1","Сізге жеңілдік картасы беріледі!"
"1","Арнайы ұсыныс: тек бүгін!"
"0","Оқу жылына дайындық шаралары басталды."
"1","Сіздің ұтысыңыз туралы хабарлама!"
"0","Достарымен бірге демалыс өткізу туралы идеялар."
"1","Тек бүгін: дәрі-дәрмектерді 50%-ға арзандатыңыз!"
"0","Жаңа пәндер мен курстар туралы ақпарат."
"1","Дәл қазір тіркеліңіз, бос орындар шектеулі!"
"0","Сіз үшін арнайы ұсыныс жасадық."
"1","Жылдам жауап беріңіз, жеңімпаз болу мүмкіндігі!"
"1","Тегін вебинарға тіркеліңіз!"
"0","Сіздің пікіріңіз біз үшін маңызды!"
"1","Құпия сауалнама: 5000 теңге ұтып алу мүмкіндігі!"
"1","Әлемдегі ең жақсы келісімдер тек сіз үшін!"
"0","Отбасыңызбен бірге тамаша демалыс өткізіңіз!"
"1","Жедел әрекет етіңіз!"
"1","Сіздің телефон нөміріңіз жеңіске жетті!"
"0","Бүгінгі жаттығу жоспарыңызды ұмытпаңыз!"
"1","Сізге тек бүгін: жеңілдіктермен сәлем!"
"1","Жылдам әрекет ету: сіздің шотыңызға 10000 теңге салынды!"
"0","Сіздің курсыңыздың тапсырмалары бар."
"0","Өзіңіздің медициналық тексеруіңізді жоспарлаңыз."
"0","Жаңа кітаптардың үздік тізімі."
"1","Сізді кезектен тыс ұтысқа шақырамыз!"
"1","Тек бүгін: 70% жеңілдікпен сатып алыңыз!"
"0","Достармен өткізген демалысыңыз туралы хабарлаңыз."
"1","Тегін сыйлықты алу үшін тіркеліңіз!"
"0","Туған күніңізге дайындық жасаңыз!"
"1","Сіздің сұрауыңыз бойынша 3000 теңге алуға мүмкіндік!"
"0","Күзгі мектеп шаралары туралы ақпарат."
"1","Бос орындар шектеулі, қазір тіркеліңіз!"
"0","Сіз үшін жаңа курстар мен семинарлар."
"1","Ары қарай оқысаңыз, 2000 теңге жеңілдік беріледі!"
"0","Жаңа технологиялар туралы мақалалар."
"1","Сізге жаңа телефон ұтып алу мүмкіндігі!"
"0","Оқу жоспарыңыз бен курстарыңыздың мерзімдері."
"1","Арнайы ұсыныс: 80% дейін төмендетілген баға!"
"0","Студенттер үшін жеңілдіктер мен гранттар туралы ақпарат."
"1","Тек бүгін: тауарларды сатып алғаныңыз үшін сыйлық!"
"0","Жаңа кітаптардың таныстырылымы."
"1","Бүгін жеңілдікпен 1000 теңге ұтып алыңыз!"
"0","Қалада өтетін мәдени шаралар туралы ақпарат."
"1","Сіздің шотыңызға 5000 теңге салынды!"
"0","Спорттық іс-шараларға қатысу туралы ескертпе."
"1","Мұндайды естімеген боларсыз, тезірек"
"1","Тек қазір: 100%-ға дейін жеңілдіктер!"
"1","Тек қазір: 90%-ға дейін жеңілдіктер!"
"0","Техника мен электроника жаңалықтары."
"1","Специальное предложение: бізбен бірге жұмысқа қабылдан!"
"0","Білім беру жүйесіндегі өзгерістер туралы ақпарат."
"1","Сіздің телефоныңызға келетін құпия хабарлама!"
"0","Тұрғын үй бағдарламалары мен жаңалықтары."
"1","Сіздің жарнамалық акцияңыз бүгін белсенді!"
"0","Оқу семинарлары мен тренингтер туралы ақпарат."
"1","Арнайы ұсыныс: 5000 теңге жеңілдік алуға асығыңыз!"
"0","Жаңа жобалардың таныстырылымы."
"1","Сіздің қатысуыңыз қажет: жедел акция!"
"0","Сіздің жұмысыңыз бен курстарыңыздың мерзімдері."
"0","Сіздің таңдау жасауыңызға мүмкіндік бар."
"1","Сізді ерекше ұсыныс күтеді!"
"1","Құпиясауалнамадан өтіп, ақша ұтып ал"
"1","Бүгін кешке бізде арнайы акция!"
"0","Сіздің оқуыңыз бен жұмыс жүктемеңіз туралы есеп беріңіз."
"1","Сіздің сұрауыңыз бойынша 10000 теңге ұтып алуға мүмкіндік!"
"0","Амансын ба әріптес"
"0","Жаңа семинарларға қатысуды жоспарлаңыз."
"1","Телефоныңызға код жібердік, осында жазыңыз"
"1","Кезекті жеңімпаз болу үшін тіркеліңіз!"
"0","Келесі аптада болатын кездесуді жоспарлаңыз."
"1","Жедел хабарлама: сіздің телефоныңызда ұтыс бар!"
"0","Жаңа курстар мен жобалар туралы біліңіз."
"1","Сізге тегін ақша алуға шақыру!"
"1","Сілтемеге өтіп миллионер атан!"
"1","Тегін вебинар!"
"0","Сіздің пікіріңізбен бөлісіңіз, бізге қызықты."
"1","Бүгінгі ұсыныс: сатып алушылар үшін арнайы сыйлық!"
"0","Әр түрлі спорт түрлерінде сайыстар өтеді."
"1","Специальное предложение: сіздің қолыңызда шектеулі сома!"
"0","Жаңа спорттық форма сатып алу уақыты келді!"
"1","Сізді бұрын-соңды болмаған жеңілдік күтеді!"
"0","Оқу бағдарламаларына енгізілген жаңартулар."
"1","Сізге арнап жаңа ұтыс!"
"0","Сіздің дәрістеріңіз қалай өтті?"
"1","Бүгін ғана: электронды құрылғыларда үлкен жеңілдіктер!"
"0","Сіздің семинарларыңызда не болды?"
"1","Тек бүгін: 50% жеңілдікпен тауарларды алыңыз!"
"0","Жаңа жылға дайындық жұмыстарын бастаңыз."
"1","Сізді құттықтаймыз! Тегін сыйлықты алыңыз!"
"0","Сіздің демалыс жоспарларыңыз қалай?"
"1","Сізді өте үлкен жеңіс күтіп тұр!"
"0","Жаңа бизнес-идеялармен бөлісіңіз."
"1","Сіздің хатыңыз жүлде ұтып алу үшін таңдалды!"
"0","Сіздің қалаңыздағы мәдени шаралар туралы біліңіз."
"1","Сіз үшін ерекше ұсыныс бар!"
"1","Миллион ұтып алу мүміндігінен құр қалма"
"1","Бүгін ғана: тегін кофенің ұсынысы!"
"1","Тексеру үшін сілтемеге өтіңіз"
"1","Сіздің есепшотыңызға 2000 теңге қосылды!"
"0","Сіздің жаңа сабағыңызға дайындық жасау керек."
"1","Достарыңызға бөлісіңіз: 100%-ға дейін жеңілдіктер!"
"0","Жаңа демалыс жоспарыңызды жасаңыз."
"1","Сізді сауалнамаға қатысуға шақырамыз, жүлде ұтып алыңыз!"
"0","Бүгінгі сабақтың тақырыбы не болды?"
"1","Келіңіз, тегін дәрі-дәрмек алыңыз!"
"0","Сіздің пікіріңіз біз үшін өте маңызды."
"1","Құпия ұсыныс: шектеулі уақытқа 3000 теңге жеңілдігі!"
"0","Сіздің оқуыңыздың нәтижелері қалай?"
"1","Біздің арнайы жиналысқа шақыру!"
"0","Достарыңызбен сөйлесуді ұмытпаңыз."
"1","Бүгіннің ұсынысы: сатып алғаныңыз үшін сыйлық алыңыз!"
"0","Сіздің курсыңыздың мерзімі қалай?"
"1","Жеңімпаз болу мүмкіндігі үшін тезірек тіркеліңіз!"
"0","Сіздің емтихандарыңызға дайындық басталды."
"1","Сіздің жүлдеіңіз дайын!"
"0","Жаңа технологиялар туралы білім алыңыз."
"1","Сіз үшін: жеңілдіктермен қолданыңыз!"
"0","Жаңа курстар туралы ақпарат алыңыз."
"1","Тек бүгін: 5000 теңгеге дейін жеңілдіктер!"
"0","Сіздің оқу жоспарыңыз қалай?"
"1","Арнайы ұсыныс: бүгін ғана!"
"0","Сіздің демалысыңыз қалай өтті?"
"1","Сіздің нөміріңіз жеңімпаз болып табылады!"
"0","Оқу семинарлары мен тренингтер туралы ақпарат алыңыз."
"1","Келіңіздер, тегін вебинарға қатысыңыз!"
"0","Сіздің демалысыңыз қалай өтті?"
"0","Жаңа фильмдер көрсетілімін жібермеңіз."
"0","Сіздің пікіріңіз біз үшін өте маңызды."
"0","Сіздің оқу жоспарыңыз қалай?"
"0","Достарыңызбен өткізген демалысыңыз туралы хабарлаңыз."
"0","Жаңа пәндер мен курстар туралы ақпарат."
"0","Сіздің сабағыңыз уақытында басталады."
"0","Оқу жылына дайындық шаралары басталды."
"0","Күзгі мектеп шаралары туралы ақпарат."
"0","Туған күніңізге дайындық жасаңыз!"
"0","Жаңа кітаптардың үздік тізімі."
"0","Спорттық іс-шараларға қатысу туралы ескертпе."
"0","Оқу семинарлары мен тренингтер туралы ақпарат алыңыз."
"0","Сіздің курсыңыздың тапсырмалары бар."
"0","Жаңа технологиялар туралы мақалалар."
"0","Қалада өтетін мәдени шаралар туралы ақпарат."
"0","Сау бол қош бол аман бол"
"1","Сұмдық, ауқымды шарадан құр қалма"
"1","Тезірек тіркеліп құр қалма"
"1","Брондауға 10000 төлеңіз"
"1","Бұндай жеңілдік бұрын соңды болмаған"
"0","Қайырлы кеш, мәтінді оқыңыз"
"0","Ілтипатпен, ізгі ниетпен"
"0","Жұмыстарды келесі аптаға дейін жасаңыз"
"0","Өтінемін, мүмкіндік беріңіз"
"0","Мына кітапты алып оқы"
"1","Бұл сілтеме сенің болашығыңды шешеді"
"1","Қиналмай ақша тапқың келеді ме"
"1","Тезірек біздің қатарға қосыл"
"1","Туған күніңізге сыйлық жасап қойдық, сілтемеге өтіңіз"
"1","Ес таңдырарлық жүлделер ұтып ал!"
"1","Орнынан тұрмай ақша тапқын келсе"
"0","Ерте тұру қажет болса ерте жат"
"0","Файлдар келесі құжатқа бекітілді"
"0","Келесі шараны ұмытпаңыз, міндетті түрде келіңіз"
"0","Көпшілік ортада еркін сөйлегіңіз келеді ме?"
"1","Миллиардер өз байлығын таратып жатыр"
"1","Қысқа сауалнамадан өтіп өзіннің кім екеніңізді анықтаңыз"
"1","Тоқаев әрбір қазақстандыққа 1000 доллар сыйға тартуда"
"0","Заңгермен ақылдасу керек"
"0","АЭС жайлы ақпарат алу қажет"
"0","Ел билігі бірқатар заңнамалық құжатқа қол қойды"
"1","Ванга осы адамдардың жолы болады дейді"
"0","Сапалы жұмыс жазыпсыз, қателерді түзетіңіз"
"0","Сіздің сараптамалық нәтижелеріңіз шықты алып кетуіңізді сұраймын"
"1","Өзіңді таппай дал болсан, біздің тестті өт"
"0","Ертең іс-шарада белгілі шетелдік меймандар болады"
"0","Кешікпей кел, мен саған сенемін"
"0","Сағат 17 00 де кездесу болатынын ұмытпаңыз!"
